# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CMB_model
# start_datetime = 2023-07-24 11:39:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpd5wvro_r/spscid6m.json
# init = /tmp/tmpd5wvro_r/9xvngoso.json
# random
#   seed = 24453
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/CMB/CMB-20230724123932.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Ob,Oc,wr,Or,OL,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0472541
# Diagonal elements of inverse mass matrix:
# 6.79623e-05, 1.02838e-05, 5.09681e-05
-0.748793,0.998085,0.0472541,3,7,0,1.47423,0.684476,0.0477613,0.252187,4.15e-05,8.85791e-05,0.699964,0.684476,0.0477613,0.252187,8.85791e-05,0.699964,0.0609182,0.548081,1091.68,0,0,3.17901,3.17901,0.0331146,301.594,1.74106,0.0223765,0.0241471,0.000364907,9.65274e-05
-3.35232,0.964327,0.0472541,6,67,0,4.42856,0.669549,0.0493108,0.270538,4.15e-05,9.25729e-05,0.680059,0.669549,0.0493108,0.270538,9.25729e-05,0.680059,0.0614843,0.548335,1092.33,0,0,3.0981,3.0981,0.0322568,301.734,1.75214,0.0221058,0.16408,0.0114353,-0.000174185
-2.80318,0.884702,0.0472541,4,23,0,4.77306,0.671343,0.0488567,0.268482,4.15e-05,9.20786e-05,0.68257,0.671343,0.0488567,0.268482,9.20786e-05,0.68257,0.0616665,0.548415,1092.42,0,0,3.10793,3.10793,0.0323736,301.599,1.75079,0.0220198,0.0291568,0.0100851,-0.000260207
-3.11916,0.975786,0.0472541,3,11,0,3.71036,0.67169,0.0492665,0.268321,4.15e-05,9.19836e-05,0.682321,0.67169,0.0492665,0.268321,9.19836e-05,0.682321,0.0612286,0.548221,1092.14,0,0,3.10696,3.10696,0.0323523,301.704,1.75093,0.0222274,0.133699,0.0102253,-5.25695e-05
-2.17272,0.998969,0.0472541,6,91,0,5.08208,0.695057,0.046395,0.23992,4.15e-05,8.59027e-05,0.713599,0.695057,0.046395,0.23992,8.59027e-05,0.713599,0.0608415,0.548046,1091.44,0,0,3.23874,3.23874,0.033757,301.413,1.733,0.0224136,-0.156549,-0.0077017,0.000133616
-1.45073,0.994722,0.0472541,4,19,0,2.15847,0.693973,0.0465675,0.240508,4.15e-05,8.61714e-05,0.712838,0.693973,0.0465675,0.240508,8.61714e-05,0.712838,0.0608142,0.548033,1091.41,0,0,3.23529,3.23529,0.0337068,301.54,1.73345,0.0224268,-0.0296344,-0.00725271,0.000146815
-3.32393,0.753709,0.0472541,3,11,0,5.26928,0.695169,0.0468452,0.239864,4.15e-05,8.58751e-05,0.713205,0.695169,0.0468452,0.239864,8.58751e-05,0.713205,0.0603809,0.547833,1091.14,0,0,3.23697,3.23697,0.0337218,301.562,1.73324,0.0226384,-0.00789095,-0.00745995,0.000358403
-2.00687,0.998151,0.0472541,3,7,0,4.09896,0.695551,0.0465032,0.239477,4.15e-05,8.57808e-05,0.713934,0.695551,0.0465032,0.239477,8.57808e-05,0.713934,0.060668,0.547966,1091.32,0,0,3.24026,3.24026,0.033769,301.447,1.7328,0.0224978,-0.122739,-0.00790241,0.00021785
-1.61533,0.795989,0.0472541,3,11,0,3.26761,0.69498,0.0464942,0.239735,4.15e-05,8.59219e-05,0.713685,0.69498,0.0464942,0.239735,8.59219e-05,0.713685,0.0607529,0.548005,1091.37,0,0,3.23912,3.23912,0.0337527,301.487,1.73294,0.0224566,-0.0827626,-0.00775896,0.00017655
-3.22137,0.983261,0.0472541,5,47,0,4.12915,0.700231,0.0458464,0.233726,4.15e-05,8.4638e-05,0.720343,0.700231,0.0458464,0.233726,8.4638e-05,0.720343,0.0607056,0.547983,1091.24,0,0,3.2697,3.2697,0.0340776,301.432,1.72884,0.0224796,-0.137694,-0.0118581,0.000199565
-3.16246,0.936557,0.0472541,3,15,0,5.56913,0.699089,0.0462263,0.235625,4.15e-05,8.49148e-05,0.718064,0.699089,0.0462263,0.235625,8.49148e-05,0.718064,0.0604755,0.547877,1091.14,0,0,3.25915,3.25915,0.0339673,301.434,1.73027,0.022592,-0.135941,-0.0104302,0.000311951
-3.7133,0.868198,0.0472541,3,15,0,5.04219,0.69966,0.04628,0.234947,4.15e-05,8.47762e-05,0.718688,0.69966,0.04628,0.234947,8.47762e-05,0.718688,0.0603467,0.547817,1091.04,0,0,3.26203,3.26203,0.0339927,301.476,1.72988,0.0226552,-0.0938594,-0.0108168,0.000375209
-4.39322,0.854684,0.0472541,4,19,0,5.27752,0.698532,0.0456952,0.235253,4.15e-05,8.50501e-05,0.718967,0.698532,0.0456952,0.235253,8.50501e-05,0.718967,0.0610837,0.548156,1091.5,0,0,3.26329,3.26329,0.0340159,301.386,1.72969,0.0222969,-0.183671,-0.0110107,1.68593e-05
-3.01834,0.946207,0.0472541,2,3,0,4.76237,0.698103,0.0459155,0.235198,4.15e-05,8.51547e-05,0.718802,0.698103,0.0459155,0.235198,8.51547e-05,0.718802,0.0609175,0.54808,1091.38,0,0,3.2625,3.2625,0.0339911,301.534,1.72978,0.0223769,-0.0363332,-0.0109181,9.68514e-05
-3.11708,0.890004,0.0472541,1,3,0,3.81443,0.698173,0.0460989,0.235288,4.15e-05,8.51378e-05,0.718528,0.698173,0.0460989,0.235288,8.51378e-05,0.718528,0.0607239,0.547992,1091.26,0,0,3.26124,3.26124,0.0339734,301.573,1.72996,0.0224707,0.00343117,-0.0107446,0.000190668
-5.01686,0.99246,0.0472541,5,39,0,5.91365,0.703085,0.0454211,0.22959,4.15e-05,8.39522e-05,0.724905,0.703085,0.0454211,0.22959,8.39522e-05,0.724905,0.0607604,0.548008,1091.18,0,0,3.2912,3.2912,0.034291,301.525,1.72595,0.0224529,-0.0446876,-0.0147484,0.000172948
-5.03572,0.926003,0.0472541,3,15,0,5.91738,0.702515,0.0459904,0.231461,4.15e-05,8.40885e-05,0.722464,0.702515,0.0459904,0.231461,8.40885e-05,0.722464,0.0602609,0.547776,1090.92,0,0,3.27967,3.27967,0.0341724,301.511,1.72752,0.0226975,-0.0587674,-0.0131794,0.000417537
-5.29738,0.999223,0.0472541,3,11,0,6.18131,0.703116,0.0454267,0.229438,4.15e-05,8.39448e-05,0.725051,0.703116,0.0454267,0.229438,8.39448e-05,0.725051,0.0607506,0.548004,1091.16,0,0,3.29189,3.29189,0.0342957,301.547,1.72586,0.0224577,-0.0230331,-0.0148435,0.000177699
-5.06933,0.960993,0.0472541,2,7,0,6.19863,0.703606,0.0455021,0.230398,4.15e-05,8.3828e-05,0.724016,0.703606,0.0455021,0.230398,8.3828e-05,0.724016,0.0606096,0.547939,1091.13,0,0,3.28701,3.28701,0.0342672,301.351,1.72654,0.0225263,-0.21927,-0.0141566,0.000246336
-7.69194,0.571626,0.0472541,1,3,0,8.10012,0.703562,0.0452678,0.230492,4.15e-05,8.38385e-05,0.724156,0.703562,0.0452678,0.230492,8.38385e-05,0.724156,0.0608541,0.548051,1091.29,0,0,3.28768,3.28768,0.0342846,301.259,1.72645,0.0224075,-0.310702,-0.014245,0.000127512
-5.32848,1,0.0472541,2,3,0,7.24948,0.703358,0.0453346,0.230149,4.15e-05,8.3887e-05,0.724432,0.703358,0.0453346,0.230149,8.3887e-05,0.724432,0.0608126,0.548032,1091.24,0,0,3.28897,3.28897,0.0342859,301.366,1.72627,0.0224276,-0.203561,-0.0144311,0.000147604
