# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CC_model
# start_datetime = 2023-07-24 11:02:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpk70t8efj/6y26nmip.json
# init = /tmp/tmpk70t8efj/bsoyusr0.json
# random
#   seed = 66295
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/CC/CC-20230724120204.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,lambda,theta.1,theta.2,theta.3,E,guess.1,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,H.10,H.11,H.12,H.13,H.14,H.15,H.16,H.17,H.18,H.19,H.20,H.21,H.22,H.23,H.24,H.25,H.26,H.27,H.28,H.29,H.30,H.31,H.32
# Adaptation terminated
# Step size = 0.376193
# Diagonal elements of inverse mass matrix:
# 0.00179757, 0.0246724
-8.85556,0.998998,0.376193,3,11,0,9.27812,0.703308,0.305015,0.397517,0.703308,0.305015,0.397517,2.89432,2.94032,72.1025,72.6554,73.5248,75.0829,75.378,76.0502,76.0844,78.6188,79.0037,81.9428,83.1653,84.0655,84.0838,85.2223,86.1726,87.3914,87.8035,87.8884,93.8711,98.914,103.228,105.207,111.453,111.795,113.174,123.007,143.596,148.823,154.497,163.175,183.09,203.56
-8.85251,0.983411,0.376193,3,9,0,9.10402,0.676791,0.366078,0.374084,0.676791,0.366078,0.374084,3.15243,3.19,69.8,70.4603,71.4969,73.3488,73.6988,74.4946,74.535,77.5217,77.9732,81.4046,82.8231,83.8645,83.8856,85.1987,86.2916,87.6892,88.1608,88.2578,95.0491,100.706,105.506,107.697,114.576,114.951,116.461,127.182,149.403,155.012,161.09,170.367,191.596,213.354
-9.02103,0.94593,0.376193,2,7,0,9.53163,0.696116,0.353044,0.379185,0.696116,0.353044,0.379185,3.09912,3.13837,71.6996,72.3501,73.3716,75.198,75.5433,76.3289,76.3688,79.3202,79.7668,83.1648,84.5714,85.6047,85.6256,86.9294,88.0152,89.4045,89.8735,89.97,96.7352,102.384,107.184,109.378,116.27,116.647,118.161,128.924,151.274,156.922,163.043,172.391,193.79,215.735
-9.11053,0.931204,0.376193,2,7,0,10.0541,0.683124,0.375277,0.37045,0.683124,0.375277,0.37045,3.18953,3.22594,70.5185,71.2051,72.2825,74.2063,74.5697,75.3959,75.4379,78.536,79.004,82.5581,84.0259,85.103,85.1248,86.4824,87.6118,89.0554,89.5424,89.6426,96.6477,102.474,107.411,109.664,116.73,117.116,118.666,129.666,152.438,158.183,164.406,173.903,195.626,217.884
-8.88529,0.937772,0.376193,4,15,0,10.8727,0.674141,0.363273,0.375186,0.674141,0.363273,0.375186,3.14104,3.17896,69.5071,70.1588,71.182,73.0103,73.3558,74.1416,74.1816,77.1314,77.5774,80.9681,82.3701,83.3996,83.4204,84.7187,85.7994,87.1815,87.6479,87.7439,94.4631,100.063,104.815,106.986,113.8,114.172,115.668,126.292,148.321,153.884,159.911,169.112,190.167,211.75
-9.24587,0.966851,0.376193,3,15,0,9.42601,0.714763,0.281209,0.406346,0.714763,0.281209,0.406346,2.78732,2.83704,73.1129,73.6239,74.4278,75.8698,76.1432,76.766,76.7977,79.1499,79.5075,82.2439,83.3847,84.2257,84.2427,85.3075,86.1973,87.3397,87.7263,87.806,93.4374,98.2082,102.305,104.189,110.149,110.476,111.794,121.224,141.068,146.122,151.612,160.018,179.339,199.227
-10.172,0.976256,0.376193,3,11,0,13.2729,0.735807,0.249863,0.417727,0.735807,0.249863,0.417727,2.63998,2.69501,75.0494,75.5082,76.2304,77.5271,77.7731,78.3338,78.3624,80.4837,80.8068,83.284,84.3195,85.084,85.0995,86.0688,86.8799,87.9229,88.2762,88.3491,93.5187,97.929,101.736,103.493,109.072,109.379,110.617,119.511,138.38,143.209,148.463,156.521,175.089,194.251
-10.9869,0.752978,0.376193,2,3,0,13.283,0.756814,0.258767,0.414522,0.756814,0.258767,0.414522,2.68263,2.7361,77.2544,77.7457,78.519,79.9071,80.1704,80.7705,80.801,83.0701,83.4156,86.0627,87.1684,87.9844,88.0009,89.0351,89.9002,91.0122,91.3888,91.4664,96.9691,101.654,105.692,107.554,113.459,113.783,115.092,124.484,144.36,149.439,154.962,163.429,182.923,203.025
-11.2312,0.997735,0.376193,2,3,0,11.3604,0.760222,0.253809,0.41631,0.760222,0.253809,0.41631,2.65896,2.71329,77.5673,78.05,78.8097,80.1735,80.4323,81.022,81.052,83.2825,83.6222,86.2257,87.3136,88.1167,88.133,89.151,90.0028,91.0979,91.4688,91.5453,96.9692,101.592,105.581,107.42,113.259,113.58,114.875,124.173,143.878,148.917,154.399,162.805,182.166,202.14
-9.53532,0.986485,0.376193,3,7,0,11.6892,0.733273,0.277974,0.407534,0.733273,0.277974,0.407534,2.77247,2.82271,74.9837,75.501,76.3147,77.7746,78.0513,78.6819,78.714,81.096,81.4583,84.2306,85.3866,86.2391,86.2563,87.3357,88.2379,89.3963,89.7884,89.8692,95.5829,100.427,104.588,106.503,112.562,112.894,114.235,123.828,144.031,149.178,154.771,163.335,183.025,203.298
