# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SS_model
# start_datetime = 2023-07-24 10:35:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 3500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmp_w4uihzl/36zmzd50.json
# init = /tmp/tmp_w4uihzl/tnokppxg.json
# random
#   seed = 30913
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/SS/LISA/SS-20230724113517.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15
# Adaptation terminated
# Step size = 0.44766
# Diagonal elements of inverse mass matrix:
# 0.000143152, 0.00997403
-13.682,0.947776,0.44766,3,7,0,15.3724,0.729935,0.214881,0.729935,0.214881,0.972871,2.39482,11.681,12.8825,12.9515,13.1886,16.6014,26.2517,26.2965,26.6592,27.1477,37.0735,47.2694,57.9117,63.7705
-9.70026,0.991809,0.44766,2,7,0,14.6504,0.713655,0.286157,0.713655,0.286157,0.984204,2.39339,11.2361,12.3598,12.4243,12.6457,15.8252,24.7656,24.807,25.1421,25.5934,34.7485,44.1339,53.9179,59.3004
-9.70316,0.999154,0.44766,2,7,0,9.89452,0.704081,0.290216,0.704081,0.290216,0.996975,2.42285,11.3527,12.4864,12.5515,12.7749,15.9825,24.9996,25.0413,25.3793,25.8344,35.0663,44.5295,54.3941,59.8208
-10.3698,0.993224,0.44766,2,7,0,11.0458,0.720911,0.263293,0.720911,0.263293,0.977695,2.38654,11.3309,12.4733,12.5388,12.7641,15.9998,25.1121,25.1544,25.4962,25.9565,35.2988,44.8813,54.8742,60.3727
-10.0706,0.977994,0.44766,3,7,0,11.7618,0.718456,0.271404,0.718456,0.271404,0.97982,2.3885,11.2939,12.4291,12.4943,12.7181,15.9325,24.9796,25.0215,25.3609,25.8178,35.0891,44.5969,54.5107,59.9653
-11.9713,0.44157,0.44766,2,3,0,15.0771,0.715708,0.305891,0.715708,0.305891,0.978466,2.37193,11.0346,12.131,12.1939,12.41,15.51,24.217,24.2573,24.5835,25.0228,33.9308,43.0591,52.5726,57.8055
-10.0501,1,0.44766,2,7,0,12.3575,0.714424,0.257532,0.714424,0.257532,0.987444,2.41267,11.4891,12.6499,12.7166,12.9455,16.2344,25.5005,25.5435,25.8912,26.3594,35.8624,45.6112,55.7787,61.3734
-10.0501,0.881142,0.44766,1,3,0,10.7811,0.714424,0.257532,0.714424,0.257532,0.987444,2.41267,11.4891,12.6499,12.7166,12.9455,16.2344,25.5005,25.5435,25.8912,26.3594,35.8624,45.6112,55.7787,61.3734
-11.095,0.99506,0.44766,3,11,0,11.5106,0.6928,0.334255,0.6928,0.334255,1.00655,2.42933,11.1649,12.265,12.3281,12.5448,15.652,24.3666,24.4069,24.7332,25.1725,34.0782,43.1992,52.7021,57.9281
-9.61663,0.945091,0.44766,3,11,0,12.1352,0.710923,0.294345,0.710923,0.294345,0.986764,2.39645,11.2073,12.3251,12.3892,12.6095,15.7711,24.657,24.6981,25.0312,25.4796,34.5753,43.8982,53.6159,58.9616
-11.4194,0.689737,0.44766,2,3,0,11.6143,0.706819,0.260994,0.706819,0.260994,0.997539,2.43592,11.579,12.7474,12.8145,13.0448,16.3546,25.6771,25.7202,26.07,26.541,36.0999,45.9052,56.1308,61.7575
-11.5655,1,0.44766,2,7,0,12.1742,0.721289,0.281028,0.721289,0.281028,0.974545,2.37188,11.1625,12.2808,12.3449,12.5653,15.7302,24.6325,24.6737,25.0075,25.4569,34.5752,43.9239,53.6705,59.0326
-9.94971,0.91921,0.44766,1,3,0,12.216,0.715758,0.257859,0.715758,0.257859,0.985554,2.40792,11.4646,12.6227,12.6892,12.9176,16.1991,25.4438,25.4867,25.8336,26.3007,35.7817,45.5078,55.6514,61.2331
-10.6828,0.9641,0.44766,3,7,0,11.0677,0.695769,0.315272,0.695769,0.315272,1.00509,2.4329,11.2715,12.3883,12.4523,12.6723,15.8287,24.6895,24.7305,25.0624,25.5093,34.5711,43.8552,53.5301,58.8514
-11.5136,0.928817,0.44766,3,15,0,12.1299,0.719459,0.235992,0.719459,0.235992,0.983796,2.41267,11.6238,12.8084,12.8764,13.11,16.4703,25.9532,25.9972,26.3533,26.8329,36.5715,46.568,56.9979,62.7382
-9.62238,0.979536,0.44766,3,7,0,11.7941,0.702769,0.308847,0.702769,0.308847,0.996039,2.41341,11.2127,12.3259,12.3898,12.6091,15.7559,24.593,24.6338,24.9649,25.4107,34.4506,43.7135,53.367,58.6768
-10.4712,0.927429,0.44766,2,7,0,10.6809,0.696398,0.317151,0.696398,0.317151,1.0039,2.42931,11.2457,12.3593,12.4231,12.6425,15.7897,24.6237,24.6646,24.9955,25.441,34.4747,43.7298,53.3742,58.6786
-11.0406,0.843917,0.44766,1,1,0,11.0969,0.695227,0.310902,0.695227,0.310902,1.00654,2.43806,11.317,12.4398,12.5042,12.7254,15.8992,24.8111,24.8523,25.1862,25.6357,34.7514,44.0916,53.8254,59.1792
-9.35635,0.967245,0.44766,2,7,0,11.9374,0.707109,0.293513,0.707109,0.293513,0.992211,2.41,11.275,12.3999,12.4644,12.686,15.8678,24.8105,24.8519,25.1871,25.6384,34.7927,44.1758,53.9564,59.3367
-9.42663,0.982437,0.44766,2,3,0,9.48047,0.706813,0.287508,0.706813,0.287508,0.993529,2.41553,11.3328,12.4656,12.5306,12.7539,15.9591,24.9711,25.0128,25.3506,25.8055,35.0333,44.4929,54.3542,59.7791
-9.4602,0.97975,0.44766,2,7,0,9.86835,0.706471,0.301378,0.706471,0.301378,0.991931,2.40629,11.2172,12.3334,12.3974,12.6173,15.7737,24.6412,24.6822,25.0145,25.4619,34.5359,43.8351,53.5273,58.8587
-12.0184,0.540574,0.44766,2,7,0,14.1212,0.71837,0.296737,0.71837,0.296737,0.976183,2.36984,11.0707,12.174,12.2373,12.4546,15.575,24.3437,24.3843,24.7129,25.1553,34.1301,43.3285,52.9162,58.1903
-11.3367,0.63919,0.44766,2,5,0,18.0969,0.70185,0.27716,0.70185,0.27716,1.00213,2.44055,11.5073,12.6617,12.7279,12.9554,16.223,25.4165,25.459,25.8038,26.268,35.6864,45.3436,55.4124,60.952
-11.7753,0.997582,0.44766,2,7,0,13.7775,0.699141,0.350218,0.699141,0.350218,0.995077,2.39588,10.9406,12.0139,12.0755,12.2868,15.3168,23.8086,23.8478,24.1656,24.5936,33.2666,42.147,51.3976,56.4844
-11.3868,0.996778,0.44766,3,15,0,12.252,0.725335,0.25747,0.725335,0.25747,0.972599,2.37643,11.3169,12.4603,12.526,12.7514,15.9912,25.1187,25.1609,25.5034,25.9646,35.3255,44.9286,54.9439,60.455
-11.0122,1,0.44766,1,1,0,11.3766,0.724517,0.252974,0.724517,0.252974,0.97437,2.38257,11.373,12.5241,12.5902,12.8171,16.0793,25.2731,25.3157,25.6608,26.1254,35.5568,45.2334,55.3262,60.8801
-11.0566,0.907364,0.44766,2,3,0,11.6354,0.715187,0.245437,0.715187,0.245437,0.988228,2.41957,11.5964,12.7736,12.8412,13.0734,16.4109,25.8226,25.8662,26.2195,26.6953,36.3547,46.2672,56.6075,62.298
