# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = BAO_model
# start_datetime = 2023-07-24 10:20:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpzlq1t49o/1ffs1emt.json
# init = /tmp/tmpzlq1t49o/f88cv5v3.json
# random
#   seed = 89435
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/BAO/BAO-20230724112018.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,rf,c,theta.1,theta.2,Dv,dv.1,dv.2,dv.3,dv.4,dv.5,dv.6
# Adaptation terminated
# Step size = 0.32805
# Diagonal elements of inverse mass matrix:
# 0.000548955, 0.00233124
-2.77452,0.992625,0.32805,3,15,0,4.32748,0.652423,0.271718,147.78,299792,0.652423,0.271718,4164.62,1269.98,1676.1,2074.11,2160.03,2508.18,3967.67
-1.53941,0.999135,0.32805,3,9,0,2.81895,0.698386,0.333946,147.78,299792,0.698386,0.333946,3666.01,1269.28,1664.45,2046.79,2128.71,2458.52,3809.33
-1.91099,0.686777,0.32805,2,7,0,3.79166,0.715176,0.369887,147.78,299792,0.715176,0.369887,3471.84,1273.74,1664.65,2040.43,2120.65,2442.59,3747.14
-2.72591,0.950395,0.32805,3,9,0,3.24601,0.721738,0.409606,147.78,299792,0.721738,0.409606,3334.07,1286.38,1675.29,2046.73,2125.73,2441.85,3709.85
-1.93878,0.881774,0.32805,3,15,0,4.3318,0.669058,0.277656,147.78,299792,0.669058,0.277656,4036.47,1258.83,1660.32,2053.26,2138.02,2481.23,3916.39
-2.41042,0.871429,0.32805,2,7,0,2.90607,0.677407,0.278709,147.78,299792,0.677407,0.278709,3982.46,1251.95,1651.05,2041.56,2125.79,2466.8,3892.1
-2.08202,1,0.32805,2,3,0,2.38891,0.675054,0.309708,147.78,299792,0.675054,0.309708,3877.47,1275.69,1676.9,2066.92,2150.72,2488.86,3885.31
-3.83021,0.543901,0.32805,1,1,0,3.91192,0.668423,0.317201,147.78,299792,0.668423,0.317201,3888.76,1286.75,1690.15,2081.72,2165.77,2504.71,3900.73
-1.78222,1,0.32805,2,3,0,3.16298,0.677016,0.306812,147.78,299792,0.677016,0.306812,3876.78,1271.97,1672.5,2062.1,2145.83,2483.82,3881.09
-1.62408,0.984004,0.32805,2,3,0,1.83444,0.677776,0.298461,147.78,299792,0.677776,0.298461,3903.4,1265.67,1665.66,2055.39,2139.23,2477.97,3882.7
-3.07891,0.681328,0.32805,2,3,0,3.40495,0.675583,0.269739,147.78,299792,0.675583,0.269739,4030.08,1246.8,1645.86,2037.13,2121.62,2464.04,3900.77
-3.53666,0.825735,0.32805,3,11,0,6.00019,0.693465,0.368203,147.78,299792,0.693465,0.368203,3585.5,1292.39,1689.28,2070.92,2152.41,2479.47,3805.39
-2.50015,1,0.32805,2,3,0,3.34398,0.697319,0.362497,147.78,299792,0.697319,0.362497,3582.59,1285.93,1681.72,2062.68,2144.06,2470.88,3797.93
-2.18188,1,0.32805,3,11,0,2.72345,0.701295,0.319298,147.78,299792,0.701295,0.319298,3699.34,1257.95,1651.97,2034.28,2116.33,2447.11,3808.52
-1.55649,0.979867,0.32805,1,3,0,2.1944,0.695571,0.335599,147.78,299792,0.695571,0.335599,3675.46,1272.77,1668.76,2051.77,2133.82,2464.1,3816.11
-1.9345,0.93226,0.32805,2,7,0,2.06687,0.705449,0.333145,147.78,299792,0.705449,0.333145,3631.88,1262.54,1655.74,2036.23,2117.76,2446.03,3790.87
-2.55862,0.820941,0.32805,1,1,0,2.61884,0.707077,0.325148,147.78,299792,0.707077,0.325148,3649.59,1256.4,1648.98,2029.46,2111.06,2439.85,3790.39
-3.13617,0.897268,0.32805,3,11,0,4.81171,0.718446,0.413546,147.78,299792,0.718446,0.413546,3339.38,1290.97,1680.7,2052.7,2131.8,2448.2,3716.16
-1.98341,0.975418,0.32805,3,13,0,3.07907,0.715563,0.361303,147.78,299792,0.715563,0.361303,3494.73,1269.05,1659.82,2036.04,2116.42,2439.24,3750.48
-1.83931,0.98842,0.32805,3,15,0,2.09687,0.703729,0.331729,147.78,299792,0.703729,0.331729,3645.35,1263.24,1656.88,2037.9,2119.56,2448.38,3796.11
-1.66124,1,0.32805,2,7,0,2.09334,0.705603,0.345278,147.78,299792,0.705603,0.345278,3592.67,1269.27,1662.61,2042.39,2123.66,2450.53,3784.52
-1.86916,0.845494,0.32805,2,3,0,2.66586,0.704554,0.362182,147.78,299792,0.704554,0.362182,3546.73,1279.24,1673.02,2052.07,2133.04,2458.24,3778.82
-2.39047,0.971419,0.32805,3,11,0,5.11279,0.667661,0.267754,147.78,299792,0.667661,0.267754,4086.33,1252.51,1653.77,2047.36,2132.38,2477.01,3924.27
-2.32363,1,0.32805,2,3,0,2.53232,0.661495,0.284217,147.78,299792,0.661495,0.284217,4055.74,1270.8,1674.91,2069.86,2154.98,2499.4,3935.71
-2.95001,0.839309,0.32805,3,15,0,5.41624,0.723268,0.417149,147.78,299792,0.723268,0.417149,3308.15,1288.23,1676.63,2047.16,2125.91,2440.87,3702.04
