# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SSx43SnIa_model
# start_datetime = 2023-07-24 11:16:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpsjosbz2s/9rbfn0mp.json
# init = /tmp/tmpsjosbz2s/qwqasnzb.json
# random
#   seed = 36427
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-LCDM/SS+SnIa/LISA/SS+SnIa-20230724121610.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,alpha,theta.1,theta.2,theta.3,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,correction,Delta,A,B,C
# Adaptation terminated
# Step size = 0.522079
# Diagonal elements of inverse mass matrix:
# 7.49891e-05, 0.000166893, 0.00579836
-33.5305,0.80478,0.522079,3,7,0,34.8552,0.697748,0.266678,-0.56746,0.697748,0.266678,-0.56746,1.00395,2.4328,11.269,12.3838,12.4477,12.6673,15.8168,24.655,24.6959,25.027,25.4727,34.512,43.776,53.4332,58.7463,0.945837,23.6435,3.25979e+07,1.36993e+06,57571.6
-31.4794,0.797393,0.522079,3,7,0,35.0655,0.708916,0.296674,0.10355,0.708916,0.296674,0.10355,0.990184,2.40664,11.2865,12.4147,12.4794,12.7017,15.8938,24.8689,24.9105,25.2469,25.6999,34.8896,44.3096,54.1288,59.5304,1.00949,23.6965,3.26331e+07,1.37067e+06,57571.6
-31.9067,0.963515,0.522079,2,7,0,32.9012,0.710716,0.299858,0.414563,0.710716,0.299858,0.414563,0.989942,2.41272,11.4244,12.5749,12.641,12.8678,16.1268,25.3039,25.3464,25.6906,26.1542,35.5605,45.2059,55.2615,60.7934,1.03729,23.7019,3.26367e+07,1.37075e+06,57571.6
-33.4041,0.960415,0.522079,3,7,0,33.9443,0.723822,0.286575,0.921528,0.723822,0.286575,0.921528,0.977479,2.39803,11.6125,12.8026,12.871,13.1058,16.4856,26.0387,26.083,26.442,26.9254,36.7445,46.824,57.3381,63.1236,1.08017,23.6791,3.26213e+07,1.37042e+06,57571.6
-32.8605,1,0.522079,2,3,0,33.4476,0.724029,0.284788,0.757646,0.724029,0.284788,0.757646,0.976318,2.39248,11.5366,12.7148,12.7825,13.015,16.3592,25.8042,25.848,26.2028,26.6806,36.3829,46.3404,56.7263,62.441,1.06654,23.676,3.26193e+07,1.37038e+06,57571.6
-34.4451,0.884265,0.522079,3,7,0,36.0791,0.702554,0.316291,0.0838901,0.702554,0.316291,0.0838901,0.996077,2.41305,11.2099,12.3229,12.3867,12.606,15.7525,24.5891,24.6299,24.961,25.4067,34.446,43.7079,53.3598,58.6685,1.00773,23.7293,3.26556e+07,1.37114e+06,57571.6
-31.5956,0.965818,0.522079,3,7,0,35.5083,0.70208,0.288447,-0.225151,0.70208,0.288447,-0.225151,0.997857,2.41933,11.2467,12.3631,12.4271,12.647,15.8027,24.6638,24.7048,25.0368,25.4838,34.5491,43.8392,53.5224,58.8491,0.978933,23.6824,3.26235e+07,1.37047e+06,57571.6
-31.0179,0.983052,0.522079,2,7,0,32.0351,0.710638,0.285922,0.0843511,0.710638,0.285922,0.0843511,0.989188,2.40783,11.3408,12.4778,12.5431,12.7672,15.9855,25.0396,25.0815,25.421,25.8781,35.1528,44.6618,54.5752,60.029,1.00773,23.678,3.26206e+07,1.37041e+06,57571.6
-31.3716,0.820415,0.522079,2,7,0,31.8109,0.709533,0.292999,0.000776217,0.709533,0.292999,0.000776217,0.988906,2.40219,11.2415,12.3632,12.4276,12.6486,15.8216,24.74,24.7812,25.1155,25.5656,34.6952,44.0531,53.8075,59.1734,1.00007,23.6902,3.26288e+07,1.37058e+06,57571.6
-32.6127,0.856674,0.522079,2,7,0,33.9048,0.703548,0.301968,0.233935,0.703548,0.301968,0.233935,0.998161,2.42745,11.4107,12.5535,12.6191,12.8443,16.0787,25.1764,25.2185,25.5596,26.0189,35.3364,44.888,54.8444,60.3214,1.02129,23.7055,3.26392e+07,1.3708e+06,57571.6
