# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CC_model
# start_datetime = 2023-07-24 10:21:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpseqr2vt3/mculhrra.json
# init = /tmp/tmpseqr2vt3/mi8fyus0.json
# random
#   seed = 77511
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/CC/CC-20230724112113.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,H.10,H.11,H.12,H.13,H.14,H.15,H.16,H.17,H.18,H.19,H.20,H.21,H.22,H.23,H.24,H.25,H.26,H.27,H.28,H.29,H.30,H.31,H.32
# Adaptation terminated
# Step size = 0.369154
# Diagonal elements of inverse mass matrix:
# 0.00222, 0.0368718
-10.361,0.854742,0.369154,3,15,0,11.3719,0.729696,0.238995,74.9062,75.4984,76.4189,78.0394,78.3425,79.0284,79.0631,81.6007,81.9801,84.8345,86.0021,86.8555,86.8727,87.9449,88.8343,89.9682,90.3501,90.4287,95.8971,100.429,104.269,106.023,111.536,111.838,113.05,121.688,139.768,144.369,149.371,157.035,174.691,192.93
-9.73615,0.902128,0.369154,2,7,0,12.0549,0.710175,0.302076,73.3917,74.1145,75.2356,77.2014,77.568,78.3966,78.4385,81.4906,81.9452,85.3526,86.7403,87.7524,87.7729,89.042,90.0928,91.43,91.8797,91.9722,98.3806,103.653,108.097,110.121,116.459,116.804,118.194,128.051,148.515,153.694,159.313,167.905,187.628,207.923
-10.2752,0.907953,0.369154,3,7,0,11.504,0.729495,0.258293,75.0398,75.678,76.6696,78.4128,78.7386,79.4756,79.5129,82.2355,82.6421,85.6973,86.9453,87.8569,87.8753,89.0198,89.9686,91.1776,91.5845,91.6682,97.4866,102.297,106.366,108.223,114.052,114.37,115.651,124.76,143.775,148.605,153.851,161.885,180.37,199.439
-9.5409,1,0.369154,2,3,0,10.2627,0.71316,0.262451,73.3918,74.0255,75.0098,76.7399,77.0631,77.7943,77.8313,80.5318,80.935,83.9638,85.2006,86.1039,86.1222,87.2561,88.1961,89.3937,89.7968,89.8796,95.6406,100.401,104.427,106.263,112.027,112.341,113.607,122.611,141.393,146.162,151.342,159.272,177.514,196.327
-9.61649,0.999109,0.369154,4,15,0,9.75887,0.715377,0.260253,73.6029,74.2334,75.2128,76.9346,77.2563,77.984,78.0209,80.7092,81.1106,84.1266,85.3584,86.2581,86.2762,87.4057,88.342,89.535,89.9366,90.0192,95.7594,100.504,104.517,106.348,112.095,112.409,113.671,122.651,141.389,146.148,151.317,159.231,177.439,196.221
-9.21417,0.998249,0.369154,3,7,0,9.72291,0.702283,0.276294,72.3787,73.0345,74.0527,75.8408,76.1746,76.9296,76.9678,79.7535,80.1691,83.2884,84.561,85.49,85.5087,86.6744,87.6403,88.8703,89.2842,89.3693,95.2783,100.153,104.271,106.148,112.035,112.356,113.649,122.83,141.948,146.796,152.06,160.116,178.631,197.71
-8.88956,0.986892,0.369154,2,7,0,10.5097,0.688032,0.302503,71.1065,71.8078,72.8954,74.8024,75.158,75.9618,76.0025,78.9631,79.4041,82.7093,84.0553,85.0371,85.0569,86.2879,87.3071,88.6041,89.0403,89.13,95.3454,100.459,104.769,106.732,112.878,113.213,114.56,124.119,143.962,148.985,154.433,162.765,181.888,201.566
-9.16324,0.918099,0.369154,2,7,0,9.65257,0.689852,0.331127,71.5093,72.2763,73.4646,75.5446,75.9321,76.8072,76.8515,80.0688,80.5473,84.1278,85.5833,86.644,86.6654,87.9942,89.0937,90.4917,90.9617,91.0583,97.7412,103.223,107.836,109.933,116.493,116.85,118.286,128.462,149.52,154.839,160.606,169.418,189.619,210.377
-9.22436,0.996937,0.369154,3,11,0,9.5387,0.663358,0.32833,68.7429,69.4744,70.6079,72.5923,72.962,73.7971,73.8394,76.9099,77.3667,80.7849,82.1746,83.1875,83.208,84.477,85.5271,86.8624,87.3112,87.4035,93.788,99.0269,103.435,105.44,111.711,112.053,113.426,123.156,143.299,148.388,153.905,162.336,181.667,201.533
-9.05798,1,0.369154,2,3,0,9.20047,0.673508,0.357667,70.0089,70.8152,72.0631,74.2442,74.65,75.5662,75.6125,78.975,79.4744,83.206,84.7204,85.8233,85.8455,87.2262,88.3678,89.8185,90.3059,90.4061,97.3258,102.989,107.744,109.905,116.655,117.022,118.499,128.945,150.512,155.951,161.845,170.844,191.455,212.612
