                    Mean        MCSE        StdDev            5%           50%           95%       N_Eff   N_Eff/s    R_hat
dL[154]     4.860110e+00    0.000299      0.020440  4.826590e+00  4.860580e+00  4.894140e+00  4670.31000  2.151080  1.00014
dL[155]     4.885570e+00    0.000301      0.020565  4.851870e+00  4.886030e+00  4.919680e+00  4681.30000  2.156140  1.00013
dL[156]     4.895560e+00    0.000301      0.020615  4.861830e+00  4.896020e+00  4.929730e+00  4685.56000  2.158100  1.00013
dL[157]     4.900720e+00    0.000301      0.020641  4.866990e+00  4.901160e+00  4.934930e+00  4687.62000  2.159050  1.00013
dL[158]     4.906160e+00    0.000302      0.020668  4.872350e+00  4.906620e+00  4.940440e+00  4689.85000  2.160080  1.00013
dL[159]     4.915190e+00    0.000302      0.020713  4.881250e+00  4.915650e+00  4.949610e+00  4693.44000  2.161730  1.00013
dL[160]     4.950830e+00    0.000305      0.020893  4.916560e+00  4.951290e+00  4.985780e+00  4706.82000  2.167890  1.00013
dL[161]     4.962490e+00    0.000305      0.020953  4.928170e+00  4.962970e+00  4.997570e+00  4711.00000  2.169820  1.00012
dL[162]     4.987620e+00    0.000307      0.021082  4.952990e+00  4.988110e+00  5.022820e+00  4719.52000  2.173740  1.00012
dL[163]     5.011930e+00    0.000308      0.021208  4.977060e+00  5.012360e+00  5.047460e+00  4727.08000  2.177220  1.00012
dL[164]     5.012070e+00    0.000308      0.021209  4.977200e+00  5.012500e+00  5.047600e+00  4727.14000  2.177250  1.00012
dL[165]     5.027320e+00    0.000309      0.021289  4.992380e+00  5.027730e+00  5.062900e+00  4731.64000  2.179320  1.00012
dL[166]     5.050500e+00    0.000311      0.021411  5.015450e+00  5.050900e+00  5.086080e+00  4738.05000  2.182280  1.00012
dL[167]     5.063830e+00    0.000312      0.021482  5.028550e+00  5.064260e+00  5.099610e+00  4741.45000  2.183840  1.00012
dL[168]     5.077320e+00    0.000313      0.021554  5.041960e+00  5.077750e+00  5.113170e+00  4744.75000  2.185360  1.00011
dL[169]     5.086060e+00    0.000314      0.021601  5.050610e+00  5.086490e+00  5.122000e+00  4746.87000  2.186340  1.00011
dL[170]     5.102220e+00    0.000315      0.021688  5.066620e+00  5.102630e+00  5.138340e+00  4750.49000  2.188000  1.00011
dL[171]     5.140600e+00    0.000317      0.021897  5.104710e+00  5.140960e+00  5.176990e+00  4758.07000  2.191500  1.00011
dL[172]     5.143530e+00    0.000318      0.021913  5.107620e+00  5.143880e+00  5.179930e+00  4758.60000  2.191740  1.00011
dL[173]     5.158470e+00    0.000319      0.021995  5.122390e+00  5.158800e+00  5.194990e+00  4761.16000  2.192920  1.00011
dL[174]     5.158810e+00    0.000319      0.021997  5.122720e+00  5.159140e+00  5.195330e+00  4761.14000  2.192910  1.00011
dL[175]     5.179420e+00    0.000320      0.022111  5.143130e+00  5.179730e+00  5.216080e+00  4764.31000  2.194370  1.00011
dL[176]     5.189510e+00    0.000321      0.022168  5.153180e+00  5.189810e+00  5.226300e+00  4765.80000  2.195060  1.00011
dL[177]     5.220470e+00    0.000324      0.022342  5.183780e+00  5.220740e+00  5.257620e+00  4769.56000  2.196790  1.00010
dL[178]     5.229970e+00    0.000324      0.022395  5.193210e+00  5.230240e+00  5.267250e+00  4770.58000  2.197260  1.00010
dL[179]     5.231530e+00    0.000324      0.022404  5.194760e+00  5.231790e+00  5.268810e+00  4770.75000  2.197340  1.00010
dL[180]     5.235860e+00    0.000325      0.022429  5.199040e+00  5.236110e+00  5.273180e+00  4771.13000  2.197510  1.00010
dL[181]     5.244950e+00    0.000325      0.022481  5.208070e+00  5.245240e+00  5.282390e+00  4771.94000  2.197880  1.00010
dL[182]     5.251360e+00    0.000326      0.022517  5.214400e+00  5.251680e+00  5.288890e+00  4772.47000  2.198130  1.00010
dL[183]     5.277240e+00    0.000328      0.022666  5.239980e+00  5.277560e+00  5.315030e+00  4774.26000  2.198950  1.00010
dL[184]     5.281200e+00    0.000328      0.022689  5.243950e+00  5.281500e+00  5.319050e+00  4774.46000  2.199040  1.00010
