lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,k,lambda,deriv_0,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,E,intofEinv,correction,dGW.1,dGW.2,dGW.3,dGW.4,dGW.5,dGW.6,dGW.7,dGW.8,dGW.9,dGW.10,dGW.11,dGW.12,dGW.13,dGW.14,dGW.15
# Adaptation terminated
# Step size = 0.405963
# Diagonal elements of inverse mass matrix:
# 0.000122378, 0.000786582
-9.22799,0.972182,0.405963,3,11,0,9.93709,0.718319,0.214681,2.9979,0.430187,0.222823,1.05596,1.15029,2.01248,2.14106,2.14852,2.1742,2.55282,3.69741,3.70295,3.74782,3.80846,5.08597,6.48114,8.0182,8.89714,0.198726,0.413153,1.15629,1.21595,1.21924,1.23041,1.37466,1.66964,1.67074,1.6796,1.69134,1.89123,2.04341,2.16681,2.22391,8.89714,2.22391,0.936016,0.983301,2.40403,11.5396,12.7164,12.784,13.0161,16.3536,25.7627,25.8063,26.1594,26.6348,36.2842,46.1818,56.5037,62.1834
-8.32432,0.993972,0.405963,3,15,0,9.33024,0.702293,0.266542,2.9979,0.411705,0.285652,1.07161,1.19095,2.20691,2.35324,2.36172,2.39087,2.81902,4.10373,4.10992,4.16015,4.228,5.6558,7.21296,8.92738,9.90745,0.197343,0.406591,1.10123,1.15558,1.15857,1.16873,1.29962,1.56598,1.56698,1.57496,1.58553,1.76542,1.90222,2.01307,2.06435,9.90745,2.06435,0.942324,0.997374,2.41734,11.3039,12.433,12.4978,12.7203,15.9132,24.8788,24.9203,25.2561,25.7082,34.876,44.2676,54.0542,59.4369
-10.9776,0.899697,0.405963,3,7,0,11.4541,0.724146,0.195113,2.9979,0.43698,0.200079,1.05026,1.13522,1.93455,2.05575,2.06279,2.08702,2.44512,3.53205,3.53731,3.57999,3.63766,4.85363,6.18254,7.64711,8.48471,0.199235,0.415633,1.17966,1.24177,1.24519,1.25683,1.40728,1.71571,1.71686,1.72613,1.73842,1.9478,2.1073,2.23667,2.29655,8.48471,2.29655,0.933587,0.978598,2.40109,11.6556,12.8551,12.9241,13.1608,16.5682,26.194,26.2386,26.6001,27.087,36.9732,47.1201,57.7062,63.5325
-9.45608,1,0.405963,2,3,0,11.3685,0.72252,0.213961,2.9979,0.430439,0.221976,1.05575,1.14973,2.00965,2.13797,2.14542,2.17104,2.54893,3.69145,3.69697,3.74177,3.8023,5.0776,6.47039,8.00484,8.88228,0.198745,0.413244,1.15712,1.21687,1.22016,1.23135,1.37582,1.67126,1.67236,1.68124,1.69299,1.89321,2.04565,2.16925,2.22645,8.88228,2.22645,0.935927,0.977701,2.39064,11.48,12.651,12.7183,12.9493,16.2707,25.6354,25.6788,26.0302,26.5034,36.1075,45.959,56.233,61.8864
-10.1977,0.974122,0.405963,1,3,0,10.5889,0.725729,0.205722,2.9979,0.433309,0.212346,1.05333,1.14337,1.97714,2.10239,2.10966,2.13469,2.50407,3.62263,3.62805,3.67193,3.73123,4.98094,6.34618,7.85048,8.71074,0.19896,0.414288,1.16679,1.22754,1.23088,1.24226,1.38926,1.69017,1.6913,1.70034,1.71232,1.91639,2.0718,2.19782,2.25615,8.71074,2.25615,0.934907,0.974717,2.38689,11.5152,12.6942,12.762,12.9946,16.3409,25.7833,25.8271,26.1816,26.6589,36.3486,46.2904,56.6601,62.3667
-8.83482,0.843263,0.405963,3,7,0,11.3132,0.710081,0.230573,2.9979,0.424599,0.241678,1.06067,1.16264,2.07383,2.2081,2.21589,2.24268,2.63717,3.82648,3.83222,3.87881,3.94174,5.26713,6.71387,8.30737,9.21849,0.198308,0.411138,1.13842,1.1963,1.19949,1.21032,1.35006,1.63531,1.63638,1.64493,1.65627,1.84935,1.99627,2.11538,2.1705,9.21849,2.1705,0.937969,0.992114,2.41885,11.5123,12.6782,12.7451,12.975,16.2784,25.578,25.6211,25.9699,26.4394,35.9667,45.7349,55.919,61.522
-8.78627,1,0.405963,3,7,0,9.17389,0.709317,0.232848,2.9979,0.423793,0.244406,1.06136,1.16442,2.08248,2.21755,2.22538,2.25233,2.64903,3.84461,3.85038,3.89721,3.96046,5.29256,6.74654,8.34796,9.2636,0.198247,0.41085,1.13594,1.19357,1.19675,1.20754,1.34666,1.6306,1.63166,1.64018,1.65146,1.84361,1.98983,2.10836,2.16321,9.2636,2.16321,0.938247,0.992815,2.41962,11.5023,12.6662,12.733,12.9624,16.2594,25.5392,25.5822,25.9302,26.3987,35.9045,45.6499,55.81,61.3996
-10.3021,0.883306,0.405963,3,11,0,11.4778,0.690662,0.297532,2.9979,0.40031,0.325009,1.08132,1.21563,2.31583,2.47178,2.48081,2.51185,2.96695,4.32842,4.33497,4.38814,4.45996,5.9704,7.61676,9.42889,10.4647,0.196496,0.402697,1.0723,1.12406,1.12691,1.13659,1.26105,1.51383,1.51477,1.52234,1.53236,1.70283,1.83239,1.93735,1.98591,10.4647,1.98591,0.946,1.00935,2.43479,11.2311,12.3415,12.4052,12.6238,15.7597,24.5498,24.5904,24.9194,25.3623,34.339,43.5298,53.1036,58.3681
-11.1855,0.875453,0.405963,1,1,0,11.1871,0.688542,0.295266,2.9979,0.401153,0.322085,1.0806,1.21382,2.30803,2.4633,2.47229,2.50319,2.95638,4.31238,4.31891,4.37187,4.44341,5.94796,7.58796,9.39312,10.425,0.196558,0.402981,1.07433,1.12627,1.12912,1.13883,1.26374,1.51744,1.51838,1.52598,1.53604,1.70715,1.8372,1.94256,1.9913,10.425,1.9913,0.945733,1.0128,2.44395,11.2841,12.4005,12.4646,12.6844,15.8376,24.6772,24.718,25.0489,25.4943,34.5224,43.7661,53.3952,58.6903
-11.3432,0.994599,0.405963,2,3,0,11.5549,0.6881,0.295969,2.9979,0.400891,0.322992,1.08082,1.21438,2.31046,2.46594,2.47493,2.50588,2.95966,4.31736,4.3239,4.37693,4.44855,5.95493,7.59691,9.40424,10.4373,0.196539,0.402893,1.0737,1.12558,1.12844,1.13813,1.2629,1.51631,1.51726,1.52484,1.53489,1.7058,1.8357,1.94094,1.98962,10.4373,1.98962,0.945816,1.01334,2.445,11.2856,12.4019,12.466,12.6858,15.8386,24.6769,24.7178,25.0486,25.4939,34.5204,43.7624,53.3896,58.6836
